iter	Passed	Remaining
0	25	25509
1	47	23596
2	70	23282
3	91	22772
4	111	22123
5	131	21857
6	152	21574
7	170	21122
8	188	20778
9	208	20617
10	228	20535
11	250	20637
12	272	20679
13	293	20664
14	312	20495
15	328	20205
16	344	19898
17	361	19726
18	378	19552
19	393	19286
20	408	19033
21	424	18890
22	441	18746
23	461	18753
24	477	18620
25	492	18441
26	505	18224
27	519	18018
28	532	17827
29	546	17666
30	564	17633
31	579	17535
32	591	17344
33	607	17267
34	621	17139
35	634	17002
36	648	16866
37	661	16758
38	675	16643
39	688	16530
40	702	16429
41	715	16324
42	730	16250
43	742	16135
44	756	16055
45	770	15974
46	783	15889
47	798	15842
48	812	15761
49	824	15674
50	836	15574
51	848	15473
52	861	15393
53	873	15298
54	886	15228
55	899	15155
56	912	15104
57	926	15051
58	940	14994
59	954	14951
60	967	14900
61	981	14851
62	999	14861
63	1016	14863
64	1033	14868
65	1051	14878
66	1067	14862
67	1083	14851
68	1099	14841
69	1115	14816
70	1131	14807
71	1148	14804
72	1164	14785
73	1179	14757
74	1194	14731
75	1208	14692
76	1221	14644
77	1234	14587
78	1248	14554
79	1260	14496
80	1276	14482
81	1291	14454
82	1304	14415
83	1318	14376
84	1331	14329
85	1342	14269
86	1355	14223
87	1366	14163
88	1379	14123
89	1391	14066
90	1403	14022
91	1414	13965
92	1426	13912
93	1439	13878
94	1454	13857
95	1469	13841
96	1485	13824
97	1496	13776
98	1509	13739
99	1523	13709
100	1536	13678
101	1553	13677
102	1569	13669
103	1585	13655
104	1600	13642
105	1615	13626
106	1628	13591
107	1644	13580
108	1661	13581
109	1676	13566
110	1690	13542
111	1707	13539
112	1723	13528
113	1740	13527
114	1755	13507
115	1767	13473
116	1782	13453
117	1798	13440
118	1810	13404
119	1823	13370
120	1834	13328
121	1848	13305
122	1862	13276
123	1874	13239
124	1886	13202
125	1899	13173
126	1910	13136
127	1924	13108
128	1936	13078
129	1949	13048
130	1961	13012
131	1974	12983
132	1987	12954
133	2000	12927
134	2013	12899
135	2024	12863
136	2035	12822
137	2048	12793
138	2061	12768
139	2074	12741
140	2084	12702
141	2096	12670
142	2110	12645
143	2126	12639
144	2139	12616
145	2150	12579
146	2162	12545
147	2173	12512
148	2185	12482
149	2197	12451
150	2210	12427
151	2224	12408
152	2235	12374
153	2246	12340
154	2257	12306
155	2270	12282
156	2282	12253
157	2293	12220
158	2305	12195
159	2318	12171
160	2332	12152
161	2345	12130
162	2357	12104
163	2370	12083
164	2383	12059
165	2396	12040
166	2413	12038
167	2431	12039
168	2450	12048
169	2468	12050
170	2482	12036
171	2499	12033
172	2515	12025
173	2528	12003
174	2539	11973
175	2551	11945
176	2562	11916
177	2574	11888
178	2586	11865
179	2598	11837
180	2610	11814
181	2622	11786
182	2635	11764
183	2646	11735
184	2657	11707
185	2672	11694
186	2683	11667
187	2696	11644
188	2709	11626
189	2722	11606
190	2735	11586
191	2746	11559
192	2759	11537
193	2771	11516
194	2783	11490
195	2794	11463
196	2805	11435
197	2818	11418
198	2835	11412
199	2850	11401
200	2862	11380
201	2874	11355
202	2886	11334
203	2898	11309
204	2910	11287
205	2921	11260
206	2933	11238
207	2945	11215
208	2959	11200
209	2973	11185
210	2987	11169
211	2999	11149
212	3010	11123
213	3021	11099
214	3034	11078
215	3048	11063
216	3059	11038
217	3064	10993
218	3078	10979
219	3095	10976
220	3111	10969
221	3125	10953
222	3138	10935
223	3149	10911
224	3162	10894
225	3175	10873
226	3186	10849
227	3197	10827
228	3210	10807
229	3222	10787
230	3236	10773
231	3248	10753
232	3264	10747
233	3276	10726
234	3289	10706
235	3300	10684
236	3311	10660
237	3322	10636
238	3333	10613
239	3346	10596
240	3357	10575
241	3368	10551
242	3381	10533
243	3393	10515
244	3406	10497
245	3418	10478
246	3432	10464
247	3445	10446
248	3458	10431
249	3469	10408
250	3483	10395
251	3496	10378
252	3507	10356
253	3518	10334
254	3531	10316
255	3542	10295
256	3553	10273
257	3566	10256
258	3578	10238
259	3591	10223
260	3602	10201
261	3615	10183
262	3629	10171
263	3644	10161
264	3658	10146
265	3671	10129
266	3681	10106
267	3693	10089
268	3705	10069
269	3717	10051
270	3730	10034
271	3741	10014
272	3753	9994
273	3764	9974
274	3779	9963
275	3794	9952
276	3809	9942
277	3825	9935
278	3841	9927
279	3857	9919
280	3872	9909
281	3885	9893
282	3897	9875
283	3913	9866
284	3925	9848
285	3937	9830
286	3948	9809
287	3959	9788
288	3972	9772
289	3983	9752
290	3993	9730
291	4006	9715
292	4021	9703
293	4034	9688
294	4047	9672
295	4058	9652
296	4069	9631
297	4081	9614
298	4093	9596
299	4104	9576
300	4115	9557
301	4126	9536
302	4138	9520
303	4150	9501
304	4162	9485
305	4175	9469
306	4187	9452
307	4201	9439
308	4214	9425
309	4226	9406
310	4237	9386
311	4252	9376
312	4265	9363
313	4277	9346
314	4291	9331
315	4302	9313
316	4313	9294
317	4323	9273
318	4336	9257
319	4346	9237
320	4359	9221
321	4370	9203
322	4382	9184
323	4393	9166
324	4405	9149
325	4418	9134
326	4431	9120
327	4442	9101
328	4453	9083
329	4466	9067
330	4476	9048
331	4489	9032
332	4500	9013
333	4511	8995
334	4522	8976
335	4536	8965
336	4551	8954
337	4565	8941
338	4578	8926
339	4590	8910
340	4603	8895
341	4615	8880
342	4628	8866
343	4641	8850
344	4653	8834
345	4666	8819
346	4676	8801
347	4690	8788
348	4703	8774
349	4716	8759
350	4727	8740
351	4739	8724
352	4751	8709
353	4763	8692
354	4777	8680
355	4791	8667
356	4803	8652
357	4816	8637
358	4829	8623
359	4842	8608
360	4853	8590
361	4865	8575
362	4876	8558
363	4887	8540
364	4899	8524
365	4912	8509
366	4924	8493
367	4936	8477
368	4949	8463
369	4961	8448
370	4972	8431
371	4984	8414
372	4998	8401
373	5010	8387
374	5024	8373
375	5034	8355
376	5046	8339
377	5058	8323
378	5072	8311
379	5083	8294
380	5095	8278
381	5107	8263
382	5121	8251
383	5137	8241
384	5150	8226
385	5162	8211
386	5173	8195
387	5185	8178
388	5196	8161
389	5208	8147
390	5221	8132
391	5233	8117
392	5246	8102
393	5261	8093
394	5272	8076
395	5284	8060
396	5296	8044
397	5306	8027
398	5319	8011
399	5331	7997
400	5343	7981
401	5356	7967
402	5369	7953
403	5379	7936
404	5391	7920
405	5405	7909
406	5420	7897
407	5431	7881
408	5443	7865
409	5454	7849
410	5465	7832
411	5477	7817
412	5489	7802
413	5500	7786
414	5513	7771
415	5524	7755
416	5536	7740
417	5547	7724
418	5559	7708
419	5573	7697
420	5592	7691
421	5612	7686
422	5626	7674
423	5637	7658
424	5648	7642
425	5659	7626
426	5672	7611
427	5683	7595
428	5695	7580
429	5707	7565
430	5720	7552
431	5731	7536
432	5743	7521
433	5756	7506
434	5768	7492
435	5781	7478
436	5791	7461
437	5803	7445
438	5814	7430
439	5824	7413
440	5835	7397
441	5849	7384
442	5861	7369
443	5874	7356
444	5885	7340
445	5896	7324
446	5908	7309
447	5921	7295
448	5932	7280
449	5944	7266
450	5955	7250
451	5967	7235
452	5981	7222
453	5996	7212
454	6009	7198
455	6023	7185
456	6034	7170
457	6047	7156
458	6059	7142
459	6071	7127
460	6083	7112
461	6093	7096
462	6105	7081
463	6119	7068
464	6133	7057
465	6148	7045
466	6160	7030
467	6172	7016
468	6186	7004
469	6198	6989
470	6211	6975
471	6228	6968
472	6241	6954
473	6252	6938
474	6266	6926
475	6279	6912
476	6294	6901
477	6309	6890
478	6322	6876
479	6337	6865
480	6353	6855
481	6370	6846
482	6386	6835
483	6403	6827
484	6418	6815
485	6434	6804
486	6448	6792
487	6461	6779
488	6476	6768
489	6491	6756
490	6504	6742
491	6518	6730
492	6530	6716
493	6544	6703
494	6557	6689
495	6570	6676
496	6585	6665
497	6600	6653
498	6614	6641
499	6628	6628
500	6641	6614
501	6654	6601
502	6666	6587
503	6680	6574
504	6694	6562
505	6709	6550
506	6722	6537
507	6736	6524
508	6748	6510
509	6754	6489
510	6765	6474
511	6777	6459
512	6791	6447
513	6804	6433
514	6817	6420
515	6829	6406
516	6842	6392
517	6855	6379
518	6868	6365
519	6882	6353
520	6897	6341
521	6912	6330
522	6926	6317
523	6939	6304
524	6954	6291
525	6966	6277
526	6979	6264
527	6992	6250
528	7005	6237
529	7020	6226
530	7037	6215
531	7052	6204
532	7064	6189
533	7077	6176
534	7091	6163
535	7103	6149
536	7116	6135
537	7130	6122
538	7144	6110
539	7157	6097
540	7169	6082
541	7184	6071
542	7197	6057
543	7209	6043
544	7225	6032
545	7239	6019
546	7254	6007
547	7267	5994
548	7278	5979
549	7289	5964
550	7302	5951
551	7314	5936
552	7325	5921
553	7339	5908
554	7353	5895
555	7366	5882
556	7378	5868
557	7391	5854
558	7407	5843
559	7421	5831
560	7435	5818
561	7448	5805
562	7464	5793
563	7479	5782
564	7497	5772
565	7510	5759
566	7524	5746
567	7542	5736
568	7558	5725
569	7575	5714
570	7590	5703
571	7606	5691
572	7620	5678
573	7635	5667
574	7652	5656
575	7666	5643
576	7681	5630
577	7694	5617
578	7707	5604
579	7722	5592
580	7736	5579
581	7751	5567
582	7766	5555
583	7782	5543
584	7795	5529
585	7808	5516
586	7822	5504
587	7834	5489
588	7846	5475
589	7859	5461
590	7871	5447
591	7882	5432
592	7894	5418
593	7906	5404
594	7918	5390
595	7933	5377
596	7946	5364
597	7960	5351
598	7972	5336
599	7983	5322
600	7997	5309
601	8011	5296
602	8023	5282
603	8034	5267
604	8046	5253
605	8051	5234
606	8062	5220
607	8076	5207
608	8089	5193
609	8101	5179
610	8114	5166
611	8126	5152
612	8141	5139
613	8152	5125
614	8163	5110
615	8176	5097
616	8189	5083
617	8201	5069
618	8216	5057
619	8231	5045
620	8249	5034
621	8266	5023
622	8279	5010
623	8290	4995
624	8302	4981
625	8313	4966
626	8326	4953
627	8339	4939
628	8351	4925
629	8362	4911
630	8375	4897
631	8388	4884
632	8400	4870
633	8412	4856
634	8423	4841
635	8436	4828
636	8448	4814
637	8463	4802
638	8478	4789
639	8495	4778
640	8511	4766
641	8527	4755
642	8542	4742
643	8556	4729
644	8568	4716
645	8583	4703
646	8597	4690
647	8611	4677
648	8623	4664
649	8638	4651
650	8651	4638
651	8665	4625
652	8678	4611
653	8689	4597
654	8701	4583
655	8714	4569
656	8725	4555
657	8738	4541
658	8750	4528
659	8763	4514
660	8778	4502
661	8793	4489
662	8805	4475
663	8817	4461
664	8831	4448
665	8844	4435
666	8856	4421
667	8869	4407
668	8880	4393
669	8891	4379
670	8904	4366
671	8916	4351
672	8927	4337
673	8938	4323
674	8951	4309
675	8963	4296
676	8976	4282
677	8988	4268
678	9001	4255
679	9015	4242
680	9026	4228
681	9037	4214
682	9050	4200
683	9064	4187
684	9076	4173
685	9090	4160
686	9104	4147
687	9119	4135
688	9135	4123
689	9151	4111
690	9165	4098
691	9178	4085
692	9190	4071
693	9204	4058
694	9216	4044
695	9230	4031
696	9244	4018
697	9255	4004
698	9267	3990
699	9278	3976
700	9291	3963
701	9302	3949
702	9316	3935
703	9329	3922
704	9342	3909
705	9354	3895
706	9367	3882
707	9380	3868
708	9396	3856
709	9410	3843
710	9421	3829
711	9434	3816
712	9448	3803
713	9460	3789
714	9472	3775
715	9486	3762
716	9499	3749
717	9511	3735
718	9525	3722
719	9531	3706
720	9546	3694
721	9559	3680
722	9573	3667
723	9586	3654
724	9602	3642
725	9618	3630
726	9634	3618
727	9653	3606
728	9667	3593
729	9684	3581
730	9699	3569
731	9715	3557
732	9732	3545
733	9749	3533
734	9766	3521
735	9781	3508
736	9796	3495
737	9811	3483
738	9827	3471
739	9843	3458
740	9858	3445
741	9863	3429
742	9876	3416
743	9888	3402
744	9900	3388
745	9913	3375
746	9925	3361
747	9939	3348
748	9954	3335
749	9967	3322
750	9978	3308
751	9992	3295
752	10006	3282
753	10017	3268
754	10031	3255
755	10044	3241
756	10056	3228
757	10067	3214
758	10078	3200
759	10090	3186
760	10103	3172
761	10114	3158
762	10126	3145
763	10137	3131
764	10148	3117
765	10160	3103
766	10175	3090
767	10188	3077
768	10203	3064
769	10214	3051
770	10227	3037
771	10240	3024
772	10253	3011
773	10265	2997
774	10278	2984
775	10289	2970
776	10302	2956
777	10314	2943
778	10325	2929
779	10338	2915
780	10349	2902
781	10363	2888
782	10375	2875
783	10387	2861
784	10398	2848
785	10410	2834
786	10421	2820
787	10434	2807
788	10444	2793
789	10455	2779
790	10468	2765
791	10483	2753
792	10496	2739
793	10507	2726
794	10518	2712
795	10529	2698
796	10541	2684
797	10552	2671
798	10565	2658
799	10580	2645
800	10596	2632
801	10612	2620
802	10628	2607
803	10643	2594
804	10660	2582
805	10679	2570
806	10698	2558
807	10715	2546
808	10731	2533
809	10748	2521
810	10763	2508
811	10778	2495
812	10795	2483
813	10810	2470
814	10827	2457
815	10846	2445
816	10864	2433
817	10879	2420
818	10895	2407
819	10909	2394
820	10925	2382
821	10939	2368
822	10953	2355
823	10965	2342
824	10978	2328
825	10988	2314
826	11001	2301
827	11013	2287
828	11026	2274
829	11036	2260
830	11047	2246
831	11059	2233
832	11074	2220
833	11087	2206
834	11098	2193
835	11110	2179
836	11122	2165
837	11133	2152
838	11145	2138
839	11159	2125
840	11174	2112
841	11188	2099
842	11202	2086
843	11219	2073
844	11235	2060
845	11250	2048
846	11265	2034
847	11280	2021
848	11293	2008
849	11308	1995
850	11325	1983
851	11341	1970
852	11357	1957
853	11372	1944
854	11387	1931
855	11401	1918
856	11416	1905
857	11428	1891
858	11443	1878
859	11456	1865
860	11470	1851
861	11484	1838
862	11496	1825
863	11509	1811
864	11522	1798
865	11533	1784
866	11545	1771
867	11558	1757
868	11571	1744
869	11584	1730
870	11595	1717
871	11608	1703
872	11620	1690
873	11633	1677
874	11646	1663
875	11660	1650
876	11672	1637
877	11684	1623
878	11696	1610
879	11707	1596
880	11719	1582
881	11731	1569
882	11744	1556
883	11755	1542
884	11767	1529
885	11780	1515
886	11791	1502
887	11802	1488
888	11812	1474
889	11823	1461
890	11835	1447
891	11848	1434
892	11861	1421
893	11872	1407
894	11883	1394
895	11895	1380
896	11905	1367
897	11918	1353
898	11930	1340
899	11940	1326
900	11953	1313
901	11965	1300
902	11976	1286
903	11987	1273
904	11998	1259
905	12009	1246
906	12021	1232
907	12033	1219
908	12044	1205
909	12055	1192
910	12068	1178
911	12080	1165
912	12090	1152
913	12102	1138
914	12114	1125
915	12125	1111
916	12136	1098
917	12148	1085
918	12162	1072
919	12175	1058
920	12188	1045
921	12200	1032
922	12212	1018
923	12225	1005
924	12235	992
925	12248	978
926	12258	965
927	12270	952
928	12282	938
929	12293	925
930	12304	911
931	12317	898
932	12329	885
933	12344	872
934	12355	858
935	12367	845
936	12379	832
937	12389	818
938	12402	805
939	12414	792
940	12425	779
941	12436	765
942	12450	752
943	12460	739
944	12471	725
945	12483	712
946	12494	699
947	12504	685
948	12516	672
949	12527	659
950	12539	646
951	12552	632
952	12564	619
953	12576	606
954	12588	593
955	12599	579
956	12613	566
957	12625	553
958	12638	540
959	12651	527
960	12664	513
961	12675	500
962	12688	487
963	12700	474
964	12713	461
965	12725	447
966	12736	434
967	12748	421
968	12760	408
969	12771	395
970	12782	381
971	12792	368
972	12803	355
973	12814	342
974	12824	328
975	12836	315
976	12846	302
977	12859	289
978	12869	276
979	12884	262
980	12896	249
981	12907	236
982	12919	223
983	12930	210
984	12940	197
985	12950	183
986	12961	170
987	12973	157
988	12986	144
989	12997	131
990	13007	118
991	13019	104
992	13030	91
993	13042	78
994	13055	65
995	13065	52
996	13077	39
997	13089	26
998	13100	13
999	13110	0
